id,suite,category,question,our_answer,auto_score,auto_detail,ground_truth,source,method,tables,trap_note,human_verdict,human_note
L3-Q-EASY-019,EASY,Direct lookup / policy,ตาม DIM_POLICY_VERSION อัตราการสะสม FahMai Points ต่อบาท (policy_variable=point_earning_rate_per_thb) ของฟ้าใหม่ที่มีผลบังคับใช้ตั้งแต่วันที่ 1 เมษายน 2025 เป็นต้นไป มีค่าเท่าไหร่ครับ,อัตราการสะสม FahMai Points ต่อบาท (point_earning_rate_per_thb) ของฟ้าใหม่ที่มีผลบังคับใช้ตั้งแต่วันที่ 1 เมษายน 2025 เป็นต้นไป คือ 0.0125 ตามข้อมูลใน DIM_POLICY_VERSION,PASS,1/1 key values,0.0125 แต้ม/บาท,policy point_earning_rate_per_thb >= 2025-04-01,point_earning_rate_per_thb effective FROM 2025-04-01,dim_policy_version,,,
L3-Q-EASY-020,EASY,Multi-table join + enrich,ใน FACT_SHIPPING ของ FahMai ทั้งหมด ขอทราบว่า vendor ขนส่งรายใดเป็นผู้รับผิดชอบรายการขนส่งให้ FahMai บ้าง และมีจำนวนรายการขนส่ง (ตามจำนวนแถวใน FACT_SHIPPING) ของ vendor รายนั้นทั้งหมดกี่รายการครับ,"ในตาราง FACT_SHIPPING ของ FahMai พบว่ามี vendor ขนส่งที่รับผิดชอบรายการขนส่งดังนี้: (1) VeloShip (Vendor ID: V-006) มีจำนวนรายการขนส่งทั้งหมด 23,182 รายการ",PASS,2/2 key values,"VeloShip (V-006); 23,182 รายการ",fact_shipping group by vendor,group by vendor + count rows; join dim_vendor name,"fact_shipping,dim_vendor",,,
L3-Q-EASY-021,EASY,Direct lookup / policy,ตามฐานข้อมูลลูกค้าของฟ้าใหม่ใน DIM_CUSTOMER ขณะนี้มีลูกค้าที่อยู่ใน loyalty_tier ระดับ gold ทั้งหมดกี่รายครับ,"จากฐานข้อมูลลูกค้าของฟ้าใหม่ใน DIM_CUSTOMER มีลูกค้าที่อยู่ใน loyalty_tier ระดับ gold ทั้งหมด 7,500 ราย",PASS,1/1 key values,"7,500 ราย",dim_customer loyalty_tier='gold',COUNT(*) WHERE loyalty_tier='gold',dim_customer,,,
L3-Q-EASY-022,EASY,Direct lookup / policy,ในโปรแกรมสะสมแต้มของ FahMai (อ้างอิงคอลัมน์ loyalty_tier ใน DIM_CUSTOMER) ระดับสมาชิก (tier) ที่สูงที่สุดที่มีการกำหนดให้กับลูกค้าจริงในฐานข้อมูล คือระดับใดครับ,ระดับสมาชิก (tier) ที่สูงที่สุดที่มีการกำหนดให้กับลูกค้าจริงในฐานข้อมูลของโปรแกรมสะสมแต้ม FahMai คือระดับ platinum,REVIEW,no extractable key,platinum,dim_customer distinct loyalty_tier,DISTINCT loyalty_tier -> highest tier actually assigned,dim_customer,,,
L3-Q-EASY-023,EASY,Direct lookup / policy,ฟ้าใหม่มีบัญชีธนาคาร (bank account) ที่ใช้ดำเนินงานทั้งหมดกี่บัญชีตาม DIM_BANK_ACCOUNT ครับ,ฟ้าใหม่มีบัญชีธนาคารที่ใช้ดำเนินงานทั้งหมด 14 บัญชี ตามข้อมูลใน DIM_BANK_ACCOUNT,PASS,1/1 key values,14 บัญชี,count(dim_bank_account),COUNT(*),dim_bank_account,,,
L3-Q-EASY-024,EASY,Direct lookup / policy,ตาม DIM_POLICY_VERSION ของฟ้าใหม่ refund threshold (policy_variable=refund_threshold_thb) ที่มีผลบังคับใช้ ณ วันที่ 1 เมษายน 2025 (หลังการปรับนโยบายล่าสุด) มีค่าเท่าไหร่บาทครับ,"ค่าของ refund threshold (policy_variable=refund_threshold_thb) ตาม DIM_POLICY_VERSION ของฟ้าใหม่ ที่มีผลบังคับใช้ ณ วันที่ 1 เมษายน 2025 คือ 5,000 บาท",REVIEW,1/2 key values,"5,000 บาท; policy_version_id=12",policy refund_threshold_thb as-of 2025-04-01,refund_threshold_thb as-of 2025-04-01,dim_policy_version,,,
L3-Q-EASY-025,EASY,Direct lookup / policy,ฟ้าใหม่มีแคมเปญโปรโมชัน (promotional campaigns) ที่แตกต่างกันทั้งหมดกี่แคมเปญในไดเรกทอรี DIM_PROMO_CAMPAIGN ครับ (นับทุกแถวในตาราง ทุกปี ทุกประเภท),ฟ้าใหม่มีแคมเปญโปรโมชันที่แตกต่างกันทั้งหมด 7 แคมเปญในไดเรกทอรี DIM_PROMO_CAMPAIGN,REVIEW,no extractable key,7 แคมเปญ,count(dim_promo_campaign),COUNT(*),dim_promo_campaign,,,
L3-Q-MED-001,MED,Basic compute (count/sum/group/top-k),ขอข้อมูล SKU ที่ขายดีที่สุดของฟ้าใหม่ตามจำนวนชิ้นที่ขายได้ (units sold) แยกเป็น 2 ปี ครับ ปี 2024 (พ.ศ. 2567) คือ SKU ไหน และปี 2025 (พ.ศ. 2568) คือ SKU ไหน? ตอบเป็น sku_id ของแต่ละปีให้ครบทั้งสองค่า,ข้อมูล SKU ที่ขายดีที่สุดของฟ้าใหม่ตามจำนวนชิ้นที่ขายได้ มีดังนี้ครับ (1) ปี 2024 (พ.ศ. 2567): sku_id คือ SKU-MASS-063 (2) ปี 2025 (พ.ศ. 2568): sku_id คือ SF-Galaxy-Pro-2568,PASS,6/8 key values,"2024: SKU-MASS-063 (1,508 ชิ้น); 2025: SF-Galaxy-Pro-2568 (4,370 ชิ้น)",v_sales_items sum(qty) by yr/sku,"sum(quantity) group by sku per year (fiscal_year_ce 2024 & 2025), top-1 each",v_sales_items,,,
L3-Q-MED-002,MED,Multi-table join + enrich,"ใน FACT_BANK_TRANSACTION ของฟ้าใหม่ ขอ single largest deposit แบบรายแถวเดียว (single transaction, ฝั่ง credit) ตลอดช่วงข้อมูลที่มี ขอครบ 4 อย่างคือ (1) จำนวนเงิน amount_thb (บาท), (2) วันที่ business_event_date, (3) account_id ของบัญชีที่รับเงิน, และ (4) source event ของรายการนี้ (เกี่ยวกับสินค้าตัวไหน / promo campaign อะไร / event ของบริษัทคืออะไร) ครับ","จากการตรวจสอบข้อมูลใน FACT_BANK_TRANSACTION ของฟ้าใหม่ รายการฝากเงินที่มียอดสูงสุดเพียงรายการเดียวมีรายละเอียดดังนี้: (1) จำนวนเงิน (amount_thb): 18,906,765.00 บาท (2) วันที่ (business_event_date): 2025-07-15 (3) account_id ของบัญชีที่รับเงิน: OPER-REMOTE (4) source event ของรายการนี้: ไม่พบข้อมูล source event ในชุดข้อมูล",PASS,3/4 key values,"18,906,765 บาท; 2025-07-15; OPER-REMOTE; source = ยอดขายออนไลน์วันเปิดตัว SF-Galaxy-Pro (credit_card batch)",v_bank_txn max credit,max(amount_thb) credit row -> amount/date/account_id; enrich source event (product/promo/company event),v_bank_txn,,,
L3-Q-MED-003,MED,Multi-table join + enrich,"อยากทราบครับว่าในกลุ่มลูกค้า B2C ของฟ้าใหม่ ทั้งหมดที่บันทึกใน FACT_LOYALTY_LEDGER ใครเป็นคนที่ ""earn"" คะแนนสะสมรวมตลอดเวลาได้มากที่สุด (รวมเฉพาะ event_type = earned ไม่นับ expired/redeemed/tier_change) ขอ customer_id, จำนวนคะแนนที่ earn รวมทั้งสิ้นเป็นตัวเลข และ loyalty_tier ปัจจุบันของลูกค้ารายนั้นตาม DIM_CUSTOMER ครับ","ลูกค้ากลุ่ม B2C ที่ได้รับคะแนนสะสม (earn) รวมมากที่สุดใน FACT_LOYALTY_LEDGER มีรายละเอียดดังนี้ครับ: (1) customer_id: CUST-L3-023922 (2) จำนวนคะแนนที่ earn รวมทั้งสิ้น: 15,738 คะแนน (3) loyalty_tier ปัจจุบัน: platinum",PASS,3/3 key values,"CUST-L3-023922; earned 15,738 แต้ม; tier ปัจจุบัน platinum",fact_loyalty_ledger earned ⋈ dim_customer B2C,"event_type='earned' sum points group by B2C customer, top-1; join current tier","v_loyalty,dim_customer",,,
L3-Q-MED-004,MED,Multi-table join + enrich,"ในปี 2025 (พ.ศ. 2568) ลูกค้า B2B รายไหนเป็นรายที่จ่ายเงินช้าที่สุด (วันที่ payment_received_date ล่าสุดของปี) รบกวนระบุ customer_id, จำนวนวันที่ชำระล่าช้ากว่า payment_due_date (ถ้าตรงเวลาให้ระบุ 0) และ payment_terms ที่ลูกค้ารายนั้นใช้อยู่ครับ",ในปี 2025 ลูกค้า B2B ที่จ่ายเงินช้าที่สุด (วันที่ payment_received_date ล่าสุด) มีรายละเอียดดังนี้ครับ: (1) **customer_id**: CUST-L3-B2B-020600 (2) **จำนวนวันที่ชำระล่าช้า**: 14 วัน (คำนวณจาก payment_received_date 2025-12-31 และ payment_due_date 2025-12-17) (3) **payment_terms**: NET-60,PASS,7/7 key values,CUST-L3-B2B-020600; ช้า 14 วัน (recv 2025-12-31 vs due 2025-12-17); NET-60,v_sales B2B 2025 latest received,2025 B2B latest payment_received_date; days late vs due; join payment_terms,"v_sales,dim_customer",,,
L3-Q-MED-005,MED,Basic compute (count/sum/group/top-k),จากข้อมูล FACT_INVENTORY_MONTHLY_SNAPSHOT ของปี 2568 (ค.ศ. 2025) SKU ไหนของฟ้าใหม่มีจำนวนเหตุการณ์ stockout (closing_units = 0) ต่อสาขาต่อเดือน รวมแล้วมากที่สุดในรอบปี และกระทบสาขา (retail branch) กี่สาขาครับ,จากข้อมูล FACT_INVENTORY_MONTHLY_SNAPSHOT ของปี 2568 (ค.ศ. 2025) พบว่า: (1) SKU ของฟ้าใหม่ที่มีจำนวนเหตุการณ์ stockout (closing_units = 0) ต่อสาขาต่อเดือน รวมแล้วมากที่สุดในรอบปี คือ **SKU-MASS-048** โดยมีจำนวนเหตุการณ์รวมทั้งหมด **11 ครั้ง** (2) เหตุการณ์ดังกล่าวส่งผลกระทบต่อสาขาค้าปลีก (retail branch) ทั้งหมด **10 สาขา**,PASS,4/4 key values,SKU-MASS-048; 11 stockout events; กระทบ 10 สาขา,v_inventory_snapshot 2025 closing_units=0,"2025 count(closing_units=0) per sku per branch-month, top sku + affected branch count",v_inventory_snapshot,,,
L3-Q-MED-006,MED,Basic compute (count/sum/group/top-k),"ขอเปรียบเทียบผลแคมเปญ 11.11 Mega Sale ปีต่อปีหน่อยครับ โดยใช้ข้อมูลจาก FACT_PROMO_REDEMPTION เทียบ MEGA-1111-2567 (11.11 ปี 2567) กับ MEGA-1111-2568 (11.11 ปี 2568) ขอตัวเลข 4 ค่า: (1) จำนวน redemption ทั้งหมดของแคมเปญปี 2567, (2) ยอดส่วนลดรวมเป็นบาทของแคมเปญปี 2567, (3) จำนวน redemption ทั้งหมดของแคมเปญปี 2568, และ (4) ยอดส่วนลดรวมเป็นบาทของแคมเปญปี 2568 ครับ","การเปรียบเทียบผลแคมเปญ 11.11 Mega Sale จากข้อมูลใน FACT_PROMO_REDEMPTION มีรายละเอียดดังนี้ครับ: (1) จำนวน redemption ทั้งหมดของแคมเปญปี 2567 (MEGA-1111-2567): 267 รายการ (2) ยอดส่วนลดรวมเป็นบาทของแคมเปญปี 2567 (MEGA-1111-2567): 1,308,360.00 บาท (3) จำนวน redemption ทั้งหมดของแคมเปญปี 2568 (MEGA-1111-2568): 442 รายการ (4) ยอดส่วนลดรวมเป็นบาทของแคมเปญปี 2568 (MEGA-1111-2568): 2,868,084.00 บาท",PASS,6/6 key values,"2567: 267 / 1,308,360 บาท; 2568: 442 / 2,868,084 บาท",fact_promo_redemption MEGA-1111-*,filter MEGA-1111-2567 vs 2568: count redemptions + sum discount each (4 numbers),v_promo,,,
L3-Q-MED-007,MED,Basic compute (count/sum/group/top-k),ใน FACT_SALES ของ FahMai ตะกร้าซื้อขายฝั่ง B2C (is_b2b=False) ใบเดียวที่มียอด basket_total_thb สูงที่สุดตลอดทั้ง corpus เกิดขึ้นที่สาขาไหน รหัสรายการ (txn_id) คืออะไร และยอดรวมในตะกร้าเป็นกี่บาทครับ,"ตะกร้าซื้อขายฝั่ง B2C (is_b2b=False) ที่มียอดรวมสูงที่สุดใน FACT_SALES ของ FahMai มีรายละเอียดดังนี้ครับ: - **สาขา**: FahMai EM Sphere (รหัสสาขา: BKK-EMSP) - **รหัสรายการ (txn_id)**: TXN-202411-03026757 - **ยอดรวมในตะกร้า**: 320,300.00 บาท",PASS,5/5 key values,"TXN-202411-03026757; BKK-EMSP; 320,300 บาท",v_sales max basket is_b2b=false,max(basket_total_thb) WHERE is_b2b=false -> branch/txn_id/amount,v_sales,,,
L3-Q-MED-008,MED,Basic compute (count/sum/group/top-k),ในปี 2024 (พ.ศ. 2567) ลูกค้าประเภท B2B ของ FahMai 5 อันดับแรกที่มียอดซื้อสูงสุด (วัดจาก net_total_thb ใน FACT_SALES รวมทั้งปี โดยกรองเฉพาะ business_event_date ที่อยู่ในปี 2024) คือลูกค้า customer_id อะไรบ้างครับ ขอเรียงจากอันดับ 1 ลงไปอันดับ 5 พร้อมยอด net รวมของแต่ละราย (หน่วยเป็นบาท) ด้วยครับ,"ลูกค้าประเภท B2B ของ FahMai ที่มียอดซื้อสูงสุด 5 อันดับแรกในปี 2024 (พ.ศ. 2567) เรียงตามลำดับมีดังนี้ครับ: 1. customer_id: CUST-L3-B2B-002600 ยอดรวม: 7,548,210.00 บาท 2. customer_id: CUST-L3-B2B-021100 ยอดรวม: 7,405,700.00 บาท 3. customer_id: CUST-L3-B2B-019600 ยอดรวม: 6,817,740.00 บาท 4. customer_id: CUST-L3-B2B-026300 ยอดรวม: 6,774,900.00 บาท 5. customer_id: CUST-L3-B2B-003500 ยอดรวม: 6,758,870.00 บาท",PASS,11/11 key values,"1)002600 7,548,210 2)021100 7,405,700 3)019600 6,817,740 4)026300 6,774,900 5)003500 6,758,870 (CUST-L3-B2B-)",v_sales B2B 2024 top5 net,2024 B2B top-5 by sum(net_total_thb),v_sales,,,
L3-Q-MED-009,MED,Direct lookup / policy,"ลูกค้าซื้อสินค้าและรับของในวันที่ 15 กุมภาพันธ์ 2025 (2025-02-15) ตามนโยบายของ FahMai ที่ ""มีผลบังคับใช้"" ในวันนั้น ลูกค้ามีสิทธิ์ขอคืนสินค้าได้ภายในกี่วันนับจากวันที่รับสินค้าครับ (return_window_days ใน DIM_POLICY_VERSION ขอบเขต global)",ตามนโยบายของ FahMai ที่มีผลบังคับใช้ในวันที่ 15 กุมภาพันธ์ 2025 (2025-02-15) ในขอบเขต global ลูกค้ามีสิทธิ์ขอคืนสินค้าได้ภายใน 14 วันนับจากวันที่รับสินค้าครับ,PASS,1/1 key values,14 วัน,policy return_window_days as-of 2025-02-15,return_window_days as-of 2025-02-15 (global scope),dim_policy_version,,,
L3-Q-MED-010,MED,Direct lookup / policy,ในวันที่ 20 มีนาคม 2568 (2025-03-20) เพดานวงเงินคืนเงิน (refund threshold) ที่บริษัทฟ้าใหม่ใช้บังคับอยู่ในขณะนั้นเป็นเท่าไหร่ในหน่วยบาท และเป็น policy_version_id หมายเลขใดครับ,"ในวันที่ 20 มีนาคม 2568 (2025-03-20) เพดานวงเงินคืนเงิน (refund threshold) ของบริษัทฟ้าใหม่คือ 5,000 บาท และเป็น `policy_version_id` หมายเลข 12",PASS,2/2 key values,"5,000 บาท; policy_version_id=12",policy refund_threshold_thb as-of 2025-03-20,refund_threshold + policy_version_id as-of 2025-03-20,dim_policy_version,,,
L3-Q-MED-011,MED,Basic compute (count/sum/group/top-k),จากตาราง FACT_RETURN ในช่วงสัปดาห์สุดท้ายของปี 2025 (ตั้งแต่ 2025-12-25 ถึง 2025-12-31 รวมทั้งสองวัน อิงตามคอลัมน์ business_event_date) มีรายการคืนสินค้าทั้งหมดกี่รายการ และเมื่อจัดกลุ่มตาม return_reason แล้วแต่ละหมวดเหตุผลมีจำนวนเท่าไหร่ครับ กรุณาระบุทั้งจำนวนรวมและจำนวนแยกตามเหตุผล,ในช่วงสัปดาห์สุดท้ายของปี 2025 (ตั้งแต่วันที่ 2025-12-25 ถึง 2025-12-31) จากตาราง FACT_RETURN มีรายละเอียดดังนี้ครับ: (1) จำนวนรายการคืนสินค้าทั้งหมด: 74 รายการ (2) จำนวนรายการแยกตามเหตุผลการคืนสินค้า (return_reason): - customer_change_of_mind: 74 รายการ,PASS,1/1 key values,รวม 74 รายการ; ทั้งหมด customer_change_of_mind (74),fact_return 2025-12-25..31,2025-12-25..31 count + group by return_reason,fact_return,,,
L3-Q-MED-012,MED,Basic compute (count/sum/group/top-k),ขอข้อมูลจาก FACT_BANK_TRANSACTION หน่อยครับ ถ้านับเฉพาะธุรกรรมขาเข้า (credit / amount_thb เป็นบวก) และไม่นับบัญชี central operating ของ KBank (account_id=KBANK-OPER) แล้ว บัญชีไหนมี credit volume รวมสูงที่สุดในช่วงปี 2024-2025 และยอดรวมเป็นเท่าไหร่ (THB)? ขอ account_id + ยอด THB ครับ,"บัญชีที่มี credit volume รวมสูงที่สุดในช่วงปี 2024-2025 (โดยไม่นับบัญชี KBANK-OPER) คือ: - **account_id**: OPER-BKK-SIAM - **ยอดรวม**: 579,680,857.00 THB",PASS,2/2 key values,"OPER-BKK-SIAM; 579,680,857 บาท",v_bank_txn credit excl KBANK-OPER,"credit (amount>0) excl KBANK-OPER, group by account sum, top-1 (2024-2025)",v_bank_txn,,,
